1	Terrestrial	Afrotropical	Guinean Moist Forests	Benin, Cote d'Ivoire, Ghana, Guinea, Liberia, Sierra Leone, Togo	
2	Terrestrial	Afrotropical	Congolian Coastal Forests	Angola, Cameroon, Democratic Republic of Congo, Equatorial Guinea, Gabon, Nigeria, Sao Tome & Principe, Republic of Congo	
3	Terrestrial	Afrotropical	Cameroon Highlands Forests	Cameroon, Equatorial Guinea, Nigeria	
4	Terrestrial	Afrotropical	Northeastern Congo Basin Moist Forests	Central African Republic, Democratic Republic of Congo	
5	Terrestrial	Afrotropical	Central Congo Basin Moist Forests	Democratic Republic of Congo	
6	Terrestrial	Afrotropical	Western Congo Basin Moist Forests	Cameroon, Central African Republic, Democratic Republic of Congo, Gabon, Republic of Congo	
7	Terrestrial	Afrotropical	Albertine Rift Montane Forests	Burundi, Democratic Republic of Congo, Rwanda, Tanzania, Uganda	
8	Terrestrial	Afrotropical	East African Coastal Forests	Kenya, Somalia, Tanzania	
9	Terrestrial	Afrotropical	Eastern Arc Montane Forests	Kenya, Tanzania	
10	Terrestrial	Afrotropical	Madagascar Forests and Shrublands	Madagascar	
11	Terrestrial	Afrotropical	Seychelles and Mascarenes Moist Forests	Mauritius, Reunion (France), Seychelles	
12	Terrestrial	Australasia	Sulawesi Moist Forests	Indonesia	
13	Terrestrial	Australasia	Moluccas Moist Forests	Indonesia	
14	Terrestrial	Australasia	Southern New Guinea Lowland Forests	Indonesia, Papua New Guinea	
15	Terrestrial	Australasia	New Guinea Montane Forests	Indonesia, Papua New Guinea	
16	Terrestrial	Australasia	Solomons-Vanuatu-Bismarck Moist Forests	Papua New Guinea, Solomon Islands, Vanuatu	
17	Terrestrial	Australasia	Queensland Tropical Forests	Australia	
18	Terrestrial	Australasia	New Caledonia Moist Forests	New Caledonia (France)	
19	Terrestrial	Australasia	Lord Howe-Norfolk Islands Forests	Australia	
20	Terrestrial	Indo-Malayan	Southwestern Ghats Moist Forests	India	
21	Terrestrial	Indo-Malayan	Sri Lankan Moist Forests	Sri Lanka	
22	Terrestrial	Indo-Malayan	Northern Indochina Subtropical Moist Forests	China, Laos, Myanmar, Thailand, Vietnam	
23	Terrestrial	Indo-Malayan	Southeast China-Hainan Moist Forests	China, Vietnam	
24	Terrestrial	Indo-Malayan	Taiwan Montane Forests	China	
25	Terrestrial	Indo-Malayan	Annamite Range Moist Forests	Cambodia, Laos, Vietnam	
26	Terrestrial	Indo-Malayan	Sumatran Islands Lowland and Montane Forests	Indonesia	
27	Terrestrial	Indo-Malayan	Philippines Moist Forests	Philippines	
28	Terrestrial	Indo-Malayan	Palawan Moist Forests	Philippines	
29	Terrestrial	Indo-Malayan	Kayah-Karen / Tenasserim Moist Forests	Malaysia, Myanmar, Thailand	
30	Terrestrial	Indo-Malayan	Peninsular Malaysian Lowland and Mountain Forests	Indonesia, Malaysia, Singapore, Thailand	
31	Terrestrial	Indo-Malayan	Borneo Lowland and Montane Forests	Brunei, Indonesia, Malaysia	
32	Terrestrial	Indo-Malayan	Nansei Shoto Archipelago Forests	Japan	
33	Terrestrial	Indo-Malayan	Eastern Deccan Plateau Moist Forests	India	
34	Terrestrial	Indo-Malayan	Naga-Manupuri-Chin Hills Moist Forests	Bangladesh, India, Myanmar	
35	Terrestrial	Indo-Malayan	Cardamom Mountains Moist Forests	Cambodia, Thailand	
36	Terrestrial	Indo-Malayan	Western Java Mountain Forests	Indonesia	
37	Terrestrial	Neotropical	Greater Antillean Moist Forests	Cuba, Dominican Republic, Haiti, Jamaica, Puerto Rico (United States)	
38	Terrestrial	Neotropical	Talamancan and Isthmian Pacific Forests	Costa Rica, Panama	
39	Terrestrial	Neotropical	Choco-Darien Moist Forests	Colombia, Ecuador, Panama	
40	Terrestrial	Neotropical	Northern Andean Montane Forests	Colombia, Ecuador, Venezuela, Peru	
41	Terrestrial	Neotropical	Coastal Venezuela Montane Forests	Venezuela	
42	Terrestrial	Neotropical	Guianan Moist Forests	Brazil, French Guiana (France), Guyana, Suriname, Venezuela	
43	Terrestrial	Neotropical	Napo Moist Forests	Colombia, Ecuador, Peru	
44	Terrestrial	Neotropical	Rio Negro-Jurua Moist Forests	Brazil, Colombia, Peru, Venezuela	
45	Terrestrial	Neotropical	Guayanan Highlands Forests	Brazil, Colombia, Guayana, Suriname, Venezuela	
46	Terrestrial	Neotropical	Central Andean Yungas	Argentina, Bolivia, Peru	
47	Terrestrial	Neotropical	Southwestern Amazonian Moist Forests	Bolivia, Brazil, Peru	
48	Terrestrial	Neotropical	Atlantic Forests	Argentina, Brazil, Paraguay	
49	Terrestrial	Oceania	South Pacific Islands Forests	American Samoa (United States), Cook Islands (New Zealand), Fiji, French Polynesia (France), Niue (New Zealand), Samoa, Tonga, Wallis and Futuna Islands (France)	
50	Terrestrial	Oceania	Hawaii Moist Forests	Hawaii (United States)	
51	Terrestrial	Afrotropical	Madagascar Dry Forests	Madagascar	
52	Terrestrial	Australasia	Nusu Tenggara Dry Forests	Indonesia	
53	Terrestrial	Australasia	New Caledonia Dry Forests	New Caledonia (France)	
54	Terrestrial	Indo-Malayan	Indochina Dry Forests	Cambodia, Laos, Thailand, Vietnam	
55	Terrestrial	Indo-Malayan	Chhota-Nagpur Dry Forests	India	
56	Terrestrial	Neotropical	Mexican Dry Forest	Guatemala, Mexico	
57	Terrestrial	Neotropical	Tumbesian-Andean Valleys Dry Forests	Colombia, Ecuador, Peru	
58	Terrestrial	Neotropical	Chiquitano Dry Forest	Bolivia, Brazil	
59	Terrestrial	Neotropical	Atlantic Dry Forests	Brazil	
60	Terrestrial	Oceania	Hawaii's Dry Forests	Hawaii (United States)	
61	Terrestrial	Nearctic	Sierra Madre Oriental and Occidental Pine-Oak Forests	Mexico, United States	
62	Terrestrial	Neotropical	Greater Antillean Pine Forests	Cuba, Dominican Republic, Haiti	
63	Terrestrial	Neotropical	Mesoamerican Pine-Oak Forests	El Salvador, Guatemala, Honduras, Mexico, Nicaragua	
64	Terrestrial	Australasia	Eastern Australia Temperate Forests	Australia	
65	Terrestrial	Australasia	Tasmanian Temperate Rain Forests	Australia	
66	Terrestrial	Australasia	New Zealand Temperate Forests	New Zealand	
67	Terrestrial	Indo-Malayan	Eastern Himalayan Broadleaf and Conifer Forests	Bhutan, China, India, Myanmar, Nepal	
68	Terrestrial	Indo-Malayan	Western Himalayan Temperate Forests	Afghanistan, India, Nepal, Pakistan	
69	Terrestrial	Nearctic	Appalachian and Mixed Mesophytic Forests	United States	
70	Terrestrial	Palearctic	Southwest China Temperate Forests	China	
71	Terrestrial	Palearctic	Russian Far East Temperate Forests	Russia	
72	Terrestrial	Nearctic	Pacific Temperate Rainforests	Canada, United States	
73	Terrestrial	Nearctic	Klamath-Siskiyou Coniferous Forests	United States	
74	Terrestrial	Nearctic	Sierra Nevada Coniferous Forests	United States	
75	Terrestrial	Nearctic	Southeastern Coniferous and Broadleaf Forests	United States	
76	Terrestrial	Neotropical	Valdivian Temperate Rainforests / Juan Fernandez Islands	Argentina, Chile	
77	Terrestrial	Palearctic	European-Mediterranean Montane Mixed Forests	Albania, Algeria, Andorra, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, France, Germany, Greece, Italy, Liechtenstein, Macedonia, Morocco, Poland, Romania, Russia, Slovakia, Slovenia	
78	Terrestrial	Palearctic	Caucasus-Anatolian-Hyrcanian Temperate Forests	Armenia, Azerbaijan, Bulgaria, Georgia, Iran, Russia, Turkey, Turkmenistan	
79	Terrestrial	Palearctic	Altai-Sayan Montane Forests	China, Kazakstan, Mongolia, Russia	
80	Terrestrial	Palearctic	Hengduan Shan Coniferous Forests	China	
81	Terrestrial	Nearctic	Muskwa / Slave Lake Boreal Forests	Canada	
82	Terrestrial	Nearctic	Canadian Boreal Forests	Canada	
83	Terrestrial	Palearctic	Ural Mountains Taiga	Russia	
84	Terrestrial	Palearctic	Eastern Siberian Taiga	Russia	
85	Terrestrial	Palearctic	Kamchatka Taiga and Grasslands	Russia	
86	Terrestrial	Afrotropical	Horn of Africa Acacia Savannas	Eritrea, Ethiopia, Kenya, Somalia, Sudan	
87	Terrestrial	Afrotropical	East African Acacia Savannas	Ethiopia, Kenya, Sudan, Tanzania, Uganda	
88	Terrestrial	Afrotropical	Central and Eastern Miombo Woodlands	Angola, Botswana, Burundi, Democratic Republic of Congo, Malawi, Mozambique, Namibia, Tanzania, Zambia, Zimbabwe	
89	Terrestrial	Afrotropical	Sudanian Savannas	Cameroon, Central African Republic, Chad, Nigeria, Democratic Republic of Congo, Eritrea, Ethiopia, Kenya, Nigeria, Sudan, Uganda	
90	Terrestrial	Australasia	Northern Australia and Trans-Fly Savannas	Australia, Indonesia, Papua New Guinea	
91	Terrestrial	Indo-Malayan	Terai-Duar Savannas and Grasslands	Bangladesh, Bhutan, India, Nepal	
92	Terrestrial	Neotropical	Llanos Savannas	Colombia, Venezuela	
93	Terrestrial	Neotropical	Cerrado Woodlands and Savannas	Bolivia, Brazil, Paraguay	
94	Terrestrial	Nearctic	Northern Prairie	Canada, United States	
95	Terrestrial	Neotropical	Patagonian Steppe	Argentina, Chile	
96	Terrestrial	Palearctic	Daurian Steppe	China, Mongolia, Russia	
97	Terrestrial	Afrotropical	Sudd-Sahelian Flooded Grasslands and Savannas	Cameroon, Chad, Ethiopia, Mali, Niger, Nigeria, Sudan, Uganda	
98	Terrestrial	Afrotropical	Zambezian Flooded Savannas	Angola, Botswana, Democratic Republic of Congo, Malawi, Mozambique, Namibia, Tanzania, Zambia	
99	Terrestrial	Indo-Malayan	Rann of Kutch Flooded Grasslands	India, Pakistan	
100	Terrestrial	Neotropical	Everglades Flooded Grasslands	United States	
101	Terrestrial	Neotropical	Pantanal Flooded Savannas	Bolivia, Brazil, Paraguay	
102	Terrestrial	Afrotropical	Ethiopian Highlands	Eritrea, Ethiopia, Sudan	
103	Terrestrial	Afrotropical	Southern Rift Montane Woodlands	Malawi, Mozambique, Tanzania, Zambia	
