#	"Threat - Level 1"	"Threat - Level 2"	"Level 1 Definition"	"Level 2 Definition"	Examples
T10.10	"Residential & Commercial Development"	"Housing & Urban Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Human cities, towns, and settlements including non-housing development typically integrated with housing"	"urban areas, suburbs, villages, ranchettes, vacation homes, shopping areas, offices, schools, hospitals, birds flying into windows"
T10.20	"Residential & Commercial Development"	"Commercial & Industrial Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Factories and other commercial centers"	"military bases, factories, stand-alone shopping centers, office parks, power plants, train yards, ship yards, airports, landfills"
T10.30	"Residential & Commercial Development"	"Tourism & Recreation Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Tourism and recreation sites with a substantial footprint"	"ski areas, golf courses, resorts, cricket fields, county parks, afghan goat polo fields, campgrounds"
T20.10	"Agriculture & Aquaculture"	"Annual & Perennial Non-Timber Crops"	"Threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture and aquaculture"	"Crops planted for food, fodder, fiber, fuel, or other uses"	"wheat farms, sugar cane plantations,  rice paddies, hillside rice production, household swidden plots, banana or pineapple plantations, mango or apple orchards, olive or date groves, vineyards, oil palm plantations, tea or coffee plantations, mixed agroforestry systems, coca plantations"
T20.30	"Agriculture & Aquaculture"	"Wood & Pulp Plantations"	"Threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture and aquaculture"	"Stands of trees planted for timber or fiber outside of natural forests, often with non-native species"	"teak or eucalyptus plantations, loblolly pine silviculture, Christmas tree farms"
T20.40	"Agriculture & Aquaculture"	"Livestock Farming & Ranching"	"Threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture and aquaculture"	"Domestic terrestrial animals raised in one location on farmed or non-local resources (farming); also domestic or semi-domesticated animals allowed to roam in the wild and supported by natural habitats (ranching)"	"cattle feed lots, chicken farms, dairy farms, cattle ranching, goat, camel, or yak herding"
T20.50	"Agriculture & Aquaculture"	"Marine & Freshwater Aquaculture"	"Threats from farming and ranching as a result of agricultural expansion and intensification, including silviculture, mariculture and aquaculture"	"Aquatic animals raised in one location on farmed or non-local resources; also hatchery fish allowed to roam in the wild"	"shrimp or fin fish aquaculture, fish ponds on farms, hatchery salmon, seeded shellfish beds, artificial algal beds"
T30.10	"Energy Production & Mining"	"Oil & Gas Drilling"	"Threats from production of non-biological resources"	"Exploring for, developing, and producing petroleum and other liquid hydrocarbons"	"oil wells, deep sea natural gas drilling"
T30.20	"Energy Production & Mining"	"Mining & Quarrying"	"Threats from production of non-biological resources"	"Exploring for, developing, and producing minerals and rocks"	"coal strip mines, alluvial gold panning, gold mines, rock quarries, sand/salt mines, coral mining, deep sea nodules, guano harvesting, dredging outside of shipping lanes"
T30.30	"Energy Production & Mining"	"Renewable Energy"	"Threats from production of non-biological resources"	"Exploring, developing, and producing renewable energy"	"geothermal power production, solar farms, wind farms (including birds flying into windmills), tidal farms"
T40.10	"Transportation & Service Corridors"	"Roads & Railroads"	"Threats from long narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Surface transport on roadways and dedicated tracks"	"highways, secondary roads, primitive roads, logging roads, bridges & causeways,  road kill, fencing associated with roads, freight/passenger/mining railroads"
T40.20	"Transportation & Service Corridors"	"Utility & Service Lines"	"Threats from long narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Transport of energy & resources"	"electrical & phone wires, aqueducts, oil & gas pipelines, electrocution of wildlife"
T40.30	"Transportation & Service Corridors"	"Shipping Lanes"	"Threats from long narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Transport on and in freshwater and ocean waterways"	"dredging, canals, shipping lanes, ships running into whales, wakes from cargo ships"
T40.40	"Transportation & Service Corridors"	"Flight Paths"	"Threats from long narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Air and space transport"	"flight paths, jets impacting birds"
T50.10	"Biological Resource Use"	"Hunting & Collecting Terrestrial Animals"	"Threats from consumptive use of ""wild"" biological resources including both deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Killing or trapping terrestrial wild animals or animal products for commercial, recreation, subsistence, research or cultural purposes, or for control/persecution reasons; includes accidental mortality/bycatch"	"bushmeat hunting, trophy hunting of lions, beaver trapping, butterfly collecting, honey or bird nest hunting, wolf control, pest control, persecution of snakes because of superstition"
T50.20	"Biological Resource Use"	"Gathering Terrestrial Plants"	"Threats from consumptive use of ""wild"" biological resources including both deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting plants, fungi, and other non-timber/non-animal products for commercial, recreation, subsistence, research or cultural purposes, or for control reasons"	"wild mushroom collection, forage for stall fed animals, orchid collection, rattan harvesting, control of host plants to combat timber diseases"
T50.30	"Biological Resource Use"	"Logging & Wood Harvesting"	"Threats from consumptive use of ""wild"" biological resources including both deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting trees and other woody vegetation for timber, fiber, or fuel"	"clear cutting of hardwoods, selective commercial logging of ironwood, pulp or woodchip operations, fuel wood collection, mangrove charcoal production"
T50.40	"Biological Resource Use"	"Fishing & Harvesting Aquatic Resources"	"Threats from consumptive use of ""wild"" biological resources including both deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting aquatic wild animals or plants for commercial, recreation, subsistence, research, or cultural purposes, or for control/persecution reasons; includes accidental mortality/bycatch"	"trawling for tuna, blast fishing for grouper, spear fishing for sharks, shellfish harvesting, whaling, seal hunting, turtle egg collection, live coral collection, seaweed collection"
T60.10	"Human Intrusions & Disturbance"	"Recreational Activities"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"People spending time in nature or traveling in vehicles outside of established transport corridors, usually for recreational reasons"	"off-road vehicles, motorboats, motorcycles, jet-skis, snowmobiles, ultralight planes, dive boats, whale watching, mountain bikes, hikers, cross-country skiers, hangliders, birdwatchers, scuba divers, pets brought into recreation areas, temporary campsites, caving, rock-climbing"
