#	"Threat - Level 1"	"Threat - Level 2"	"Level 1 Definition"	"Level 2 Definition"	Examples
T10.10	"Residential & Commercial Development"	"Housing & Urban Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Human cities, towns, and settlements including non-housing development typically integrated with housing"	"urban areas, suburbs, villages, vacation homes, shopping areas, offices, schools, hospitals"
T10.20	"Residential & Commercial Development"	"Commercial & Industrial Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Factories and other commercial centers"	"manufacturing plants, shopping centers, office parks, military bases, power plants, train & ship yards, airports"
T10.30	"Residential & Commercial Development"	"Tourism & Recreation Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Tourism and recreation sites with a substantial footprint"	"ski areas, golf courses, beach resorts, cricket fields, county parks, campgrounds"
T20.10	"Agriculture & Aquaculture"	"Annual & Perennial Non-Timber Crops"	"Threats from farming and ranching as a result of agricultural expansion, intensification or practices; includes silviculture, mariculture and aquaculture"	"Crops planted for food, fodder, fiber, fuel, or other uses"	"farms, household swidden plots, plantations, orchards, vineyards, mixed agroforestry systems"
T20.30	"Agriculture & Aquaculture"	"Wood & Pulp Plantations"	"Threats from farming and ranching as a result of agricultural expansion, intensification or practices; includes silviculture, mariculture and aquaculture"	"Stands of trees planted for timber or fiber outside of natural forests, often with non-native species"	"teak or eucalyptus plantations, silviculture, christmas tree farms"
T20.40	"Agriculture & Aquaculture"	"Livestock Farming & Ranching"	"Threats from farming and ranching as a result of agricultural expansion, intensification or practices; includes silviculture, mariculture and aquaculture"	"Domestic terrestrial animals raised in one location on farmed or non-local resources (farming); also domestic or semi-domesticated animals allowed to roam in the wild and supported by natural habitats (ranching)"	"cattle feed lots, dairy farms, cattle ranching, chicken farms, goat, camel, or yak herding"
T20.50	"Agriculture & Aquaculture"	"Marine & Freshwater Aquaculture"	"Threats from farming and ranching as a result of agricultural expansion, intensification or practices; includes silviculture, mariculture and aquaculture"	"Aquatic animals raised in one location on farmed or non-local resources; also hatchery fish allowed to roam in the wild"	"shrimp or fin fish aquaculture, fish ponds on farms, hatchery salmon, seeded shellfish beds, artificial algal beds"
T30.10	"Energy Production & Mining"	"Oil & Gas Drilling"	"Threats from production of non-biological resources"	"Exploring for, developing and producing petroleum and other liquid hydrocarbons"	"oil wells, deep sea natural gas drilling"
T30.20	"Energy Production & Mining"	"Mining & Quarrying"	"Threats from production of non-biological resources"	"Exploring for, developing and producing minerals and rocks"	"coal mines, alluvial gold panning, gold mines, rock quarries, coral mining, deep sea nodules, guano harvesting"
T30.30	"Energy Production & Mining"	"Renewable Energy"	"Threats from production of non-biological resources"	"Exploring, developing and producing renewable energy"	"geothermal power production, solar farms, wind farms (including birds or bats flying into windmills), tidal farms"
T40.10	"Transportation & Service Corridors"	"Roads & Railroads"	"Threats from long, narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Surface transport on roadways and dedicated tracks"	"highways, secondary roads, logging roads, bridges & causeways, road kill, fencing associated with roads, railroads"
