30101	Alaskan Coastal
30102	Upper Yukon
30103	Alaska & Canada Pacific Coastal
30104	Upper Mackenzie
30105	Lower Mackenzie
30106	Central Arctic Coastal
30107	Upper Saskatchewan
30108	Middle Saskatchewan
30109	English - Winnipeg Lakes
30110	Southern Hudson Bay
30111	Western Hudson Bay
30112	Canadian Arctic Archipelago
30113	Eastern Hudson Bay - Ungava
30114	Gulf of St.Lawrence Coastal Drainages
30115	Canadian Atlantic Islands
30116	Laurentian Great Lakes
30117	St.Lawrence
30118	Northeast US & Southeast Canada Atlantic Drainages
30119	Scotia - Fundy
30120	Columbia Glaciated
30121	Columbia Unglaciated
30122	Upper Snake
30123	Oregon & Northern California Coastal
30124	Oregon Lakes
30125	Sacramento - San Joaquin
30126	Lahontan
30127	Bonneville
30128	Death Valley
30129	Vegas - Virgin
30130	Colorado
30131	Gila
30132	Upper Rio Grande - Bravo
30133	Pecos
30134	Rio Conchos
30135	Lower Rio Grande - Bravo
30136	Cuatro Cienegas
30137	Rio Salado
30138	Rio San Juan (Mexico)
30139	West Texas Gulf
30140	East Texas Gulf
30141	Sabine - Galveston
30142	Upper Missouri
30143	Middle Missouri
30144	US Southern Plains
30145	Ouachita Highlands
30146	Central Prairie
30147	Ozark Highlands
30148	Upper Mississippi
30149	Lower Mississippi
30150	Teays - Old Ohio
30151	Cumberland
30152	Tennessee
30153	Mobile Bay
30154	West Florida Gulf
30155	Apalachicola
30156	Florida Peninsula
30157	Appalachian Piedmont
30158	Chesapeake Bay
30159	Southern California Coastal - Baja California
30160	Sonora
30161	Guzman - Samalayuca
30162	Sinaloa
30163	Mayran - Viesca
30164	Rio Santiago
30165	Lerma - Chapala
30166	Llanos El Salado
30167	Panuco
30168	Ameca - Manantlan
30169	Rio Balsas
30170	Sierra Madre del Sur
30171	Papaloapan
30172	Coatzacoalcos
30173	Grijalva - Usumacinta
30174	Upper Usumacinta
30175	Yucatan
30176	Bermuda
30201	Chiapas - Fonseca
30202	Quintana Roo - Motagua
30203	Mosquitia
30204	Estero Real - Tempisque
30205	San Juan (Nicaragua/Costa Rica)
30206	Chiriqui
30207	Isthmus Caribbean
30208	Santa Maria
30209	Chagres
30210	Rio Tuira
30211	Cuba - Cayman Islands
30212	Bahama Archipelago
30213	Jamaica
30214	Hispaniola
30215	Puerto Rico - Virgin Islands
30216	Windward & Leeward Islands
30217	Cocos Island (Costa Rica)
30301	North Andean Pacific Slopes - Rio Atrato
30302	Magdalena - Sinu
30303	Maracaibo
30304	South America Caribbean Drainages - Trinidad
30305	Orinoco High Andes
30306	Orinoco Piedmont
30307	Orinoco Llanos
30308	Orinoco Guiana Shield
30309	Orinoco Delta & Coastal Drainages
30310	Essequibo
30311	Guianas
30312	Amazonas High Andes
30313	Western Amazon Piedmont
30314	Rio Negro
30315	Amazonas Guiana Shield
30316	Amazonas Lowlands
30317	Ucayali - Urubamba Piedmont
30318	Mamore - Madre de Dios Piedmont
30319	Guapore - Itenez
30320	Tapajos - Juruena
30321	Madeira Brazilian Shield
30322	Xingu
30323	Amazonas Estuary & Coastal Drainages
30324	Tocantins - Araguaia
30325	Parnaiba
30326	Northeastern Caatinga & Coastal Drainages
30327	S. Francisco
30328	Northeastern Mata Atlantica
30329	Paraiba do Sul
30330	Ribeira de Iguape
30331	Southeastern Mata Atlantica
30332	Lower Uruguay
