20001	North Greenland Marine
20002	North and East Iceland Marine
20003	East Greenland Shelf Marine
20004	West Greenland Shelf Marine
20005	Northern Grand Banks - Southern Labrador Marine
20006	Northern Labrador Marine
20008	Hudson Complex Marine
20011	Beaufort-Amundsen-Viscount Melville-Queen Maud Marine
20012	Beaufort Sea - continental coast and shelf Marine
20013	Chukchi Sea Marine
20015	East Siberian Sea Marine
20016	Laptev Sea Marine
20017	Kara Sea Marine
20018	North and East Barents Sea Marine
20019	White Sea Marine
20020	South and West Iceland Marine
20021	Faroe Plateau Marine
20022	Southern Norway Marine
20023	Northern Norway and Finnmark Marine
20024	Baltic Sea Marine
20025	North Sea Marine
20026	Celtic Seas Marine
20027	South European Atlantic Shelf Marine
20028	Saharan Upwelling Marine
20029	Azores Canaries Madeira Marine
20030	Adriatic Sea Marine
20037	Gulf of St. Lawrence - Eastern Scotian Shelf Marine
20038	Southern Grand Banks - South Newfoundland Marine
20039	Scotian Shelf Marine
20041	Virginian Marine
20043	Northern Gulf of Mexico Marine
20044	Black Sea Marine
20045	Sea of Okhotsk Marine
20047	Oyashio Current Marine
20048	Northeastern Honshu Marine
20049	Sea of Japan/East Sea Marine
20050	Yellow Sea Marine
20051	Central Kuroshio Current Marine
20052	East China Sea Marine
20053	Aleutian Islands Marine
20054	Gulf of Alaska Marine
20060	Cortezian Marine
20061	Magdalena Transition Marine
20062	Bermuda Marine
20063	Bahamian Marine
20064	Eastern Caribbean Marine
20065	Greater Antilles Marine
20066	Southern Caribbean Marine
20067	Southwestern Caribbean Marine
20068	Western Caribbean Marine
20069	Southern Gulf of Mexico Marine
20070	Floridian Marine
20071	Guianan Marine
20072	Amazonia Marine
20073	Sao Pedro and Sao Paulo Islands Marine
20074	Fernando de Naronha and Atoll das Rocas Marine
20075	Northeastern Brazil Marine
20076	Eastern Brazil Marine
20077	Trindade and Martin Vaz Islands Marine
20078	St. Helena and Ascension Islands Marine
20079	Cape Verde Marine
20082	Gulf of Guinea Upwelling Marine
20083	Gulf of Guinea Central Marine
20084	Gulf of Guinea Islands Marine
20087	Northern and Central Red Sea Marine
20088	Southern Red Sea Marine
20089	Gulf of Aden Marine
20090	Arabian (Persian) Gulf Marine
20091	Gulf of Oman Marine
20092	Western Arabian Sea Marine
20093	Central Somali Coast Marine
20094	Northern Monsoon Current Coast Marine
20095	East African Coral Coast Marine
20096	Seychelles Marine
20097	Cargados Carajos/Tromelin Island Marine
20098	Mascarene Islands Marine
20099	Southeast Madagascar Marine
20100	Western and Northern Madagascar Marine
20101	Bight of Sofala/Swamp Coast Marine
20102	Delagoa Marine
20103	Western India Marine
20104	South India and Sri Lanka Marine
20105	Maldives Marine
20106	Chagos Marine
20107	Eastern India Marine
20108	Northern Bay of Bengal Marine
20109	Andaman and Nicobar Islands Marine
20110	Andaman Sea Coral Coast Marine
20111	Western Sumatra Marine
20112	Gulf of Tonkin Marine
20113	Southern China Marine
20114	South China Sea Oceanic Islands Marine
20115	Gulf of Thailand Marine
20116	Southern Vietnam Marine
20117	Sunda Shelf/Java Sea Marine
20118	Malacca Strait Marine
20119	Southern Java Marine
20120	Cocos-Keeling/Christmas Island Marine
20121	South Kuroshio Marine
20122	Ogasawara Islands Marine
20123	Mariana Islands Marine
20124	East Caroline Islands Marine
20125	West Caroline Islands Marine
20126	Palawan/North Borneo Marine
20127	Eastern Philippines Marine
20128	Sulawesi Sea/Makassar Strait Marine
20129	Halmahera Marine
20130	Papua Marine
20131	Banda Sea Marine
20132	Lesser Sunda Marine
20133	Northeast Sulawesi Marine
20134	Bismarck Sea Marine
20135	Solomon Archipelago Marine
20136	Solomon Sea Marine
20137	Southeast Papua New Guinea Marine
20138	Gulf of Papua Marine
20139	Arafura Sea Marine
20140	Arnhem Coast to Gulf of Carpenteria Marine
20141	Bonaparte Coast Marine
20142	Torres Strait Northern Great Barrier Reef Marine
20143	Central and Southern Great Barrier Reef Marine
20144	Exmouth to Broome Marine
20145	Ningaloo Marine
20146	Tonga Islands Marine
20148	Vanuatu Marine
20149	New Caledonia Marine
20150	Coral Sea Marine
20151	Lord Howe and Norfolk Islands Marine
20153	Marshall Islands Marine
20155	Line Islands Marine
20156	Phoenix/Tokelau/Northern Cook Islands Marine
20157	Samoa Islands Marine
20158	Tuamotus Marine
20159	Rapa-Pitcairn Marine
20160	Southern Cook/Austral Islands Marine
20161	Society Islands Marine
20162	Marquesas Marine
20163	Easter Island Marine
20164	Revillagigedos Marine
20165	Clipperton Marine
20166	Mexican Tropical Pacific Marine
20167	Chiapas-Nicaragua Marine
20168	Nicoya Marine
20169	Cocos Islands Marine
20170	Panama Bight Marine
20171	Guayaquil Marine
20172	Northern Galapagos Islands Marine
20173	Eastern Galapagos Islands Marine
20174	Western Galapagos Islands Marine
20175	Central Peru Marine
20176	Humboldtian Marine
20177	Central Chile Marine
20178	Araucanian Marine
20179	Juan Fernandez and Desventuradas Marine
20180	Southeastern Brazil Marine
20181	Rio Grande Marine
20182	Rio de la Plata Marine
20183	Uruguay-Buenos Aires Shelf Marine
20186	Malvinas/Falklands Marine
20187	Channels and Fjords of Southern Chile Marine
20188	Chiloense Marine
20189	Tristan Gough Marine
20191	Namaqua Marine
20192	Agulhas Bank Marine
20193	Natal Marine
20194	Amsterdam-St Paul Marine
20197	Three Kings-North Cape Marine
20200	South New Zealand Marine
20201	Snares Island Marine
20202	Tweed-Moreton Marine
20203	Manning-Hawkesbury Marine
20204	Cape Howe Marine
20205	Bassian Marine
20206	Western Bassian Marine
20207	South Australian Gulfs Marine
20208	Great Australian Bight Marine
20209	Leeuwin Marine
20210	Shark Bay Marine
20211	Houtman Marine
20212	Macquarie Island Marine
20213	Heard and Macdonald Islands Marine
20214	Kerguelen Islands Marine
20215	Crozet Islands Marine
20216	Prince Edward Islands Marine
20217	Bouvet Island Marine
20218	Peter the First Island Marine
20219	South Sandwich Islands Marine
20220	South Georgia Marine
20221	South Orkney Islands Marine
20222	South Shetland Islands Marine
20223	Antarctic Peninsula Marine
20224	East Antarctic Wilkes Land Marine
20225	East Antarctic Enderby Land Marine
20226	East Antarctic Dronning Maud Land Marine
20227	Weddell Sea Marine
20228	Amundsen/Bellingshausen Sea Marine
20229	Ross Sea Marine
20231	Campbell Island Marine
20232	Auckland Island Marine
25007	Baffin Bay - Davis Strait Marine
25009	Lancaster Sound Marine
25010	High Arctic Archipelago Marine
25014	Eastern Bering Sea Marine
25031	Aegean Sea Marine
25032	Levantine Sea Marine
25033	Tunisian Plateau/Gulf of Sidra Marine
25034	Ionian Sea Marine
25035	Western Mediterranean Marine
25036	Alboran Sea Marine
25040	Gulf of Maine/Bay of Fundy Marine
25042	Carolinian Marine
25046	Kamchatka Shelf and Coast Marine
25055	North American Pacific Fijordland Marine
25056	Puget Trough/Georgia Basin Marine
25057	"Oregon, Washington, Vancouver Coast and Shelf Marine"
25058	Northern California Marine
25059	Southern California Bight Marine
25080	Sahelian Upwelling Marine
25081	Gulf of Guinea West Marine
25085	Gulf of Guinea South Marine
25086	Angolan Marine
25147	Fiji Islands Marine
25152	Hawaii Marine
25154	Gilbert/Ellis Islands Marine
25184	North Patagonian Gulfs Marine
25185	Patagonian Shelf Marine
25190	Namib Marine
25195	Kermadec Island Marine
25196	Northeastern New Zealand Marine
25198	Chatham Island Marine
25199	Central New Zealand Marine
25230	Bounty and Antipodes Islands Marine
