OBSOLETE	(Superseded Operating Unit)	
AUSTR	Australia
CHINA	China
INDON	Indonesia
IL_US	Illinois
IN_US	Indiana
IA_US	Iowa
KS_US	Kansas
MI_US	Michigan
MN_US	Minnesota
MO_US	Missouri
NE_US	Nebraska
ND_US	North Dakota
OK_US	Oklahoma
SD_US	South Dakota
TX_US	Texas
WI_US	Wisconsin
CT_US	Connecticut
DE_US	Delaware
ME_US	Maine
MD_US	Maryland/DC
MA_US	Massachusetts
NH_US	New Hampshire
NJ_US	New Jersey
NY_US	New York
OH_US	Ohio
PA_US	Pennsylvania
RI_US	Rhode Island
VT_US	Vermont
VA_US	Virginia
WV_US	West Virginia
CARIB	Caribbean
MEXIC	Mexico and Northern Central America
AK_US	Alaska
CA_US	California
CANAD	Canada
HI_US	Hawaii
OR_US	Oregon
WA_US	Washington
AZ_US	Arizona
CO_US	Colorado
ID_US	Idaho
MT_US	Montana
NV_US	Nevada
NM_US	New Mexico
UT_US	Utah
WY_US	Wyoming
AMAZO	Amazon
NANDE	Northern Andes and Southern Central America	
SANDE	Southern Andes	
AL_US	Alabama	
AR_US	Arkansas	
FL_US	Florida	
GA_US	Georgia	
KY_US	Kentucky	
LA_US	Louisiana	
MS_US	Mississippi
NC_US	North Carolina
SC_US	South Carolina
TN_US	Tennessee
APARO	Asia Pacific Regional Office
WORLD	Worldwide Office
OTHER	Non-TNC
MONGO	Mongolia
ATLCS	Atlantic Forest and Central Savannas
AFRRO	Africa Program
LAMRO	Latin America Regional Office
NAMRO	North America Regional Office
NASRO	North Asia Regional Office
MICRO	Micronesia
SOLOM	Solomon Islands
PAPUA	Papua New Guinea
